,ONDAS,El Sol,España
Nacionalidad,12.559618441971383,19.101123595505616,11.3997113997114
Otros,41.772655007949126,42.69662921348314,54.40115440115441
Género musical,21.681240063593005,20.224719101123593,11.976911976911978
Carácter social,7.412559618441971,2.247191011235955,4.9062049062049065
Novedad/Modernidad,6.399046104928457,7.865168539325842,8.513708513708513
Tecnología/Radio,0.7551669316375199,0.0,0.0
Valoración negativa,0.19872813990461047,1.1235955056179776,0.0
Valoración estética,3.994435612082671,4.49438202247191,3.6075036075036073
Diversidad cultural,1.5699523052464228,1.1235955056179776,1.7316017316017316
Complejidad,1.669316375198728,0.0,1.5873015873015872
Cualidades expresivas,1.987281399046105,1.1235955056179776,1.875901875901876
